iter	Logloss
0	0.6690517974
1	0.6424143584
2	0.619937996
3	0.6059177222
4	0.5868367726
5	0.5708602456
6	0.5560148244
7	0.5443486547
8	0.5281656415
9	0.5202834299
10	0.5119736952
11	0.5003607274
12	0.4891785831
13	0.4779984825
14	0.4629977967
15	0.4570904537
16	0.4510621195
17	0.4474865633
18	0.4394883392
19	0.4346002201
20	0.4280584206
21	0.422047565
22	0.4178348428
23	0.410825755
24	0.4043246105
25	0.3998789026
26	0.3955063134
27	0.3906991129
28	0.3851271622
29	0.3808988359
30	0.3747469556
31	0.3710814431
32	0.3670412805
33	0.3653169658
34	0.3633988279
35	0.3605553956
36	0.3576720636
37	0.3553375472
38	0.352285182
39	0.3508309485
40	0.3460003831
41	0.3424856658
42	0.3389929211
43	0.3364404034
44	0.3339481699
45	0.329530354
46	0.3259539656
47	0.323139167
48	0.3206512444
49	0.3184095932
50	0.3157197546
51	0.3120559985
52	0.3099598794
53	0.3074406952
54	0.3048745311
55	0.3030177291
56	0.3015652318
57	0.3003206384
58	0.2983428376
59	0.2954640121
60	0.2926213056
61	0.2912637603
62	0.2890705622
63	0.2872973603
64	0.2856541368
65	0.2840424504
66	0.2808534033
67	0.278731283
68	0.2770186941
69	0.2748325238
70	0.2735529591
71	0.2722217002
72	0.2707156896
73	0.2687684353
74	0.2678855456
75	0.2659387528
76	0.2639226753
77	0.2618856486
78	0.2608031212
79	0.2597581869
80	0.2573215926
81	0.2557282333
82	0.2546726644
83	0.2534471752
84	0.2512962445
85	0.2494839836
86	0.2480359169
87	0.2472581836
88	0.2446021925
89	0.2439673797
90	0.242732186
91	0.2414940697
92	0.2401152942
93	0.2391094618
94	0.237785966
95	0.2368597912
96	0.2347950548
97	0.2334214824
98	0.2318476207
99	0.230972554
