iter	Passed	Remaining
0	91	91414
1	103	51507
2	115	38245
3	126	31532
4	137	27394
5	149	24841
6	161	22950
7	172	21446
8	185	20407
9	197	19591
10	210	18890
11	222	18343
12	234	17831
13	247	17423
14	258	16987
15	269	16581
16	280	16210
17	292	15939
18	303	15654
19	314	15387
20	325	15170
21	336	14952
22	347	14776
23	359	14628
24	371	14495
25	382	14342
26	393	14195
27	404	14049
28	416	13956
29	427	13837
30	439	13751
31	450	13637
32	462	13542
33	473	13463
34	485	13383
35	496	13289
36	507	13207
37	518	13122
38	529	13047
39	540	12970
40	551	12897
41	563	12853
42	574	12787
43	585	12726
44	597	12681
45	608	12624
46	620	12576
47	631	12530
48	643	12496
49	655	12457
50	666	12409
51	678	12376
52	691	12351
53	702	12301
54	713	12255
55	724	12207
56	735	12160
57	746	12128
58	757	12085
59	768	12046
60	779	12004
61	790	11960
62	802	11929
63	813	11897
64	824	11866
65	836	11830
66	846	11791
67	858	11761
68	868	11717
69	879	11680
70	890	11654
71	901	11620
72	912	11585
73	923	11558
74	934	11529
75	946	11511
76	957	11478
77	968	11447
78	979	11415
79	990	11385
80	1001	11357
81	1012	11334
82	1023	11302
83	1035	11288
84	1048	11282
85	1060	11270
86	1073	11266
87	1085	11252
88	1098	11246
89	1111	11242
90	1123	11222
91	1135	11206
92	1147	11190
93	1159	11179
94	1171	11160
95	1183	11147
96	1195	11129
97	1210	11138
98	1224	11140
99	1235	11123
100	1247	11099
101	1257	11073
102	1268	11048
103	1279	11021
104	1289	10995
105	1300	10971
106	1311	10947
107	1322	10924
108	1334	10906
109	1345	10885
110	1356	10862
111	1367	10844
112	1378	10820
113	1389	10796
114	1400	10775
115	1411	10755
116	1422	10732
117	1434	10719
118	1445	10698
119	1455	10676
120	1466	10654
121	1477	10633
122	1488	10610
123	1498	10588
124	1509	10565
125	1519	10542
126	1530	10521
127	1541	10498
128	1551	10477
129	1562	10456
130	1574	10441
131	1584	10419
132	1595	10399
133	1607	10387
134	1618	10368
135	1631	10363
136	1642	10344
137	1652	10322
138	1663	10303
139	1674	10283
140	1685	10266
141	1695	10246
142	1706	10228
143	1717	10208
144	1727	10189
145	1738	10170
146	1749	10152
147	1760	10137
148	1771	10120
149	1782	10102
150	1793	10082
151	1803	10063
152	1814	10045
153	1825	10026
154	1836	10009
155	1847	9993
156	1857	9973
157	1868	9958
158	1878	9938
159	1891	9928
160	1902	9915
161	1913	9900
162	1925	9887
163	1936	9872
164	1948	9859
165	1959	9842
166	1969	9825
167	1980	9809
168	1991	9794
169	2003	9779
170	2014	9764
171	2025	9750
172	2036	9735
173	2048	9722
174	2059	9706
175	2070	9695
176	2081	9680
177	2094	9670
178	2105	9656
179	2118	9650
180	2129	9634
181	2140	9620
182	2151	9604
183	2162	9589
184	2173	9573
185	2185	9564
186	2196	9550
187	2208	9536
188	2219	9522
189	2230	9508
190	2240	9491
191	2251	9476
192	2262	9460
193	2273	9445
194	2285	9433
195	2295	9418
196	2306	9402
197	2316	9384
198	2327	9367
199	2337	9351
200	2348	9335
201	2359	9320
202	2370	9305
203	2381	9292
204	2392	9277
205	2402	9261
206	2413	9245
207	2424	9230
208	2435	9216
209	2445	9200
210	2456	9186
211	2467	9172
212	2478	9159
213	2489	9144
214	2500	9129
