iter	Passed	Remaining
0	16	11605
1	33	11618
2	49	11561
3	66	11578
4	82	11517
5	99	11481
6	115	11444
7	132	11427
8	148	11386
9	164	11357
10	181	11370
11	198	11352
12	213	11294
13	229	11264
14	246	11242
15	262	11222
16	279	11209
17	295	11207
18	312	11205
19	329	11204
20	346	11189
21	362	11162
22	378	11143
23	394	11119
24	410	11091
25	427	11073
26	443	11049
27	460	11053
28	477	11044
29	494	11037
30	510	11009
31	526	10984
32	543	10981
33	560	10972
34	576	10953
35	593	10938
36	609	10929
37	627	10925
38	643	10908
39	660	10897
40	676	10873
41	693	10857
42	713	10902
43	729	10880
44	746	10870
45	764	10874
46	783	10879
47	800	10879
48	817	10859
49	834	10845
50	850	10829
51	873	10887
52	890	10876
53	906	10849
54	923	10835
55	941	10823
56	957	10802
57	974	10784
58	990	10762
59	1007	10742
60	1023	10719
61	1039	10697
62	1055	10673
63	1071	10650
64	1087	10627
65	1104	10609
66	1120	10590
67	1137	10570
68	1153	10547
69	1170	10531
70	1186	10512
71	1202	10491
72	1218	10469
73	1235	10450
74	1252	10433
75	1269	10423
76	1285	10404
77	1302	10386
78	1319	10370
79	1335	10351
80	1352	10336
81	1369	10318
82	1385	10302
83	1403	10292
84	1420	10275
85	1437	10264
86	1454	10247
87	1471	10234
88	1489	10223
89	1506	10213
90	1523	10196
91	1540	10179
92	1555	10153
93	1572	10136
94	1587	10110
95	1603	10089
96	1619	10069
97	1636	10054
98	1652	10032
99	1668	10012
100	1684	9992
101	1701	9973
102	1716	9950
103	1732	9930
104	1748	9910
105	1766	9898
106	1783	9885
107	1800	9871
108	1817	9853
109	1833	9836
110	1850	9819
111	1867	9802
112	1883	9784
113	1900	9768
114	1916	9751
115	1934	9738
116	1950	9721
117	1966	9699
118	1983	9682
119	1999	9665
120	2016	9649
121	2032	9627
122	2049	9614
123	2066	9599
124	2083	9586
125	2101	9571
126	2117	9555
127	2134	9539
128	2150	9519
129	2166	9500
130	2182	9480
131	2198	9461
132	2215	9445
133	2232	9428
134	2248	9412
135	2265	9395
136	2282	9378
137	2298	9358
138	2314	9342
139	2331	9325
140	2348	9309
141	2364	9291
142	2380	9271
143	2396	9254
144	2412	9233
145	2428	9215
146	2443	9193
147	2460	9175
148	2476	9158
149	2493	9142
150	2509	9125
151	2525	9105
152	2541	9085
153	2556	9064
154	2572	9046
155	2588	9026
156	2604	9007
157	2620	8989
158	2638	8976
159	2654	8960
160	2671	8942
161	2686	8923
162	2703	8906
163	2719	8889
164	2737	8875
165	2753	8856
166	2769	8840
167	2785	8820
168	2802	8804
169	2818	8786
170	2835	8770
171	2851	8753
172	2868	8736
173	2883	8716
174	2899	8699
175	2915	8681
176	2932	8663
177	2947	8645
178	2964	8629
179	2981	8612
